id,left,top,right,bottom,row_index,col_index,grid_area,density,b_area_sum,building_density,density_final1,green_mean
1424,1121102.539600000018254,1678207.949100000318140,1121602.539600000018254,1677707.949100000085309,67,12,194955.932,0.307,72712.828000,0.373,0.373,0.0794392523364486
1425,1121102.539600000018254,1677707.949100000085309,1121602.539600000018254,1677207.949100000318140,68,12,250015.286,0.261,89875.379000,0.359,0.359,0.118320610687023
1426,1121102.539600000018254,1677207.949100000318140,1121602.539600000018254,1676707.949100000085309,69,12,250109.289,0.070,16893.355000,0.068,0.068,0
1427,1121102.539600000018254,1676707.949100000085309,1121602.539600000018254,1676207.949100000318140,70,12,56812.853,0.037,2900.265000,0.051,0.051,0
1428,1121102.539600000018254,1676207.949100000318140,1121602.539600000018254,1675707.949100000085309,71,12,142785.204,0.056,9749.380000,0.068,0.068,0.00598802395209581
1429,1121102.539600000018254,1675707.949100000085309,1121602.539600000018254,1675207.949100000318140,72,12,250066.489,0.013,2587.252000,0.010,0.010,0.519031141868512
1430,1121102.539600000018254,1675207.949100000318140,1121602.539600000018254,1674707.949100000085309,73,12,241277.800,0.014,2165.694000,0.009,0.009,0.946768060836502
1431,1121102.539600000018254,1674707.949100000085309,1121602.539600000018254,1674207.949100000318140,74,12,230569.381,0.057,9357.972000,0.041,0.041,0.821561338289963
1432,1121102.539600000018254,1674207.949100000318140,1121602.539600000018254,1673707.949100000085309,75,12,250109.289,0.234,39554.799000,0.158,0.158,0.625
1433,1121102.539600000018254,1673707.949100000085309,1121602.539600000018254,1673207.949100000318140,76,12,250109.288,0.030,5744.051000,0.023,0.023,1
1434,1121102.539600000018254,1673207.949100000318140,1121602.539600000018254,1672707.949100000085309,77,12,250109.288,0.008,1464.489000,0.006,0.006,1
1435,1121102.539600000018254,1672707.949100000085309,1121602.539600000018254,1672207.949100000318140,78,12,250109.288,0.005,1027.062000,0.004,0.004,1
1436,1121102.539600000018254,1672207.949100000318140,1121602.539600000018254,1671707.949100000085309,79,12,250109.288,0.000,21.762000,0.000,0.000,1
1437,1121102.539600000018254,1671707.949100000085309,1121602.539600000018254,1671207.949100000318140,80,12,250109.288,0.000,,,,0.677824267782427
1438,1121102.539600000018254,1671207.949100000318140,1121602.539600000018254,1670707.949100000085309,81,12,250109.288,0.000,,,,0
1439,1121102.539600000018254,1670707.949100000085309,1121602.539600000018254,1670207.949100000318140,82,12,250109.288,0.000,,,,0
1440,1121102.539600000018254,1670207.949100000318140,1121602.539600000018254,1669707.949100000085309,83,12,250109.288,0.000,63.417000,0.000,0.000,0
1441,1121102.539600000018254,1669707.949100000085309,1121602.539600000018254,1669207.949100000318140,84,12,249809.415,0.099,16506.844000,0.066,0.066,0
1442,1121102.539600000018254,1669207.949100000318140,1121602.539600000018254,1668707.949100000085309,85,12,250109.288,0.001,160.375000,0.001,0.001,0
1443,1121102.539600000018254,1668707.949100000085309,1121602.539600000018254,1668207.949100000318140,86,12,250109.288,0.000,,,,0
1444,1121102.539600000018254,1668207.949100000318140,1121602.539600000018254,1667707.949100000085309,87,12,250109.287,0.001,462.636000,0.002,0.002,0
1445,1121102.539600000018254,1667707.949100000085309,1121602.539600000018254,1667207.949100000318140,88,12,167825.541,0.000,,,,0
1446,1121102.539600000018254,1667207.949100000318140,1121602.539600000018254,1666707.949100000085309,89,12,98698.387,0.000,,,,0
1521,1121602.539600000018254,1686207.949100000318140,1122102.539600000018254,1685707.949100000085309,51,13,680.437,0.000,,,,0
1522,1121602.539600000018254,1685707.949100000085309,1122102.539600000018254,1685207.949100000318140,52,13,241514.449,0.004,838.508000,0.003,0.003,0.659340659340659
1523,1121602.539600000018254,1685207.949100000318140,1122102.539600000018254,1684707.949100000085309,53,13,250108.541,0.030,7698.061000,0.031,0.031,0.542253521126761
1524,1121602.539600000018254,1684707.949100000085309,1122102.539600000018254,1684207.949100000318140,54,13,250108.541,0.065,16389.816000,0.066,0.066,0.075812274368231
1525,1121602.539600000018254,1684207.949100000318140,1122102.539600000018254,1683707.949100000085309,55,13,250108.541,0.003,526.835000,0.002,0.002,0.027681660899654
1526,1121602.539600000018254,1683707.949100000085309,1122102.539600000018254,1683207.949100000318140,56,13,250108.540,0.008,1505.233000,0.006,0.006,0.802238805970149
1527,1121602.539600000018254,1683207.949100000318140,1122102.539600000018254,1682707.949100000085309,57,13,250108.540,0.009,1739.001000,0.007,0.007,0.577205882352941
1528,1121602.539600000018254,1682707.949100000085309,1122102.539600000018254,1682207.949100000318140,58,13,250108.540,0.000,,,,0.53515625
1529,1121602.539600000018254,1682207.949100000318140,1122102.539600000018254,1681707.949100000085309,59,13,188252.519,0.000,,,,0.835680751173709
1530,1121602.539600000018254,1681707.949100000085309,1122102.539600000018254,1681207.949100000318140,60,13,138745.782,0.022,1970.318000,0.014,0.014,0.879518072289157
1531,1121602.539600000018254,1681207.949100000318140,1122102.539600000018254,1680707.949100000085309,61,13,100140.064,0.049,3641.061000,0.036,0.036,0.756756756756757
1533,1121602.539600000018254,1680207.949100000318140,1122102.539600000018254,1679707.949100000085309,63,13,1.360,0.000,,,,0
1534,1121602.539600000018254,1679707.949100000085309,1122102.539600000018254,1679207.949100000318140,64,13,152311.367,0.032,4403.940000,0.029,0.029,0.116959064327485
1535,1121602.539600000018254,1679207.949100000318140,1122102.539600000018254,1678707.949100000085309,65,13,250108.540,0.189,57419.053000,0.230,0.230,0.0467625899280576
1536,1121602.539600000018254,1678707.949100000085309,1122102.539600000018254,1678207.949100000318140,66,13,250108.540,0.336,85574.881000,0.342,0.342,0.0812720848056537
1537,1121602.539600000018254,1678207.949100000318140,1122102.539600000018254,1677707.949100000085309,67,13,229948.097,0.230,56551.403000,0.246,0.246,0.194656488549618
1538,1121602.539600000018254,1677707.949100000085309,1122102.539600000018254,1677207.949100000318140,68,13,158853.003,0.157,23248.988000,0.146,0.146,0.348837209302326
1539,1121602.539600000018254,1677207.949100000318140,1122102.539600000018254,1676707.949100000085309,69,13,72761.128,0.009,2278.892000,0.031,0.031,0
